CRRES EMIC wave events, their positions, and magnetospheric conditions
Data:
          orbit           year        yearday           xpos           ypos           zpos             ls            mlt           mlat     phase
            167           1990    275.6257019   2453.3806152  37927.5859375  11553.5917969      6.9984941      4.9573240     18.6480808     quiet
            167           1990    275.6264038   2352.5395508  37945.2265625  11570.0068359      7.0001559      4.9673462     18.6476192     quiet
            167           1990    275.6270752   2251.6987305  37962.8632812  11586.4218750      7.0018182      4.9773679     18.6471596     quiet
            167           1990    275.6277771   2150.8579102  37980.5000000  11602.8369141      7.0034800      4.9873900     18.6466999     quiet
            167           1990    275.6284790   2049.7714844  37993.8046875  11617.9277344      7.0045681      4.9974060     18.6455402     quiet
            167           1990    275.6291809   1948.6851807  38007.1093750  11633.0195312      7.0056562      5.0074220     18.6443806     quiet
            167           1990    275.6305542   1746.5124512  38033.7187500  11663.2021484      7.0078321      5.0274539     18.6420593     quiet
            167           1990    275.6312561   1645.4260254  38047.0234375  11678.2929688      7.0089202      5.0374699     18.6408997     quiet
            167           1990    275.6319580   1544.1528320  38056.0078125  11692.0585938      7.0094481      5.0474877     18.6390400     quiet
            167           1990    275.6354065   1037.6575928  38096.6250000  11759.5566406      7.0115337      5.0975862     18.6291199     quiet
            167           1990    275.6361084    936.2554321  38101.3007812  11771.9921875      7.0115080      5.1076121     18.6266403     quiet
            167           1990    275.6368103    834.8532715  38105.9804688  11784.4287109      7.0114818      5.1176381     18.6241589     quiet
            167           1990    275.6375122    733.4510498  38110.6562500  11796.8642578      7.0114560      5.1276641     18.6216793     quiet
            167           1990    275.6381836    632.0488892  38115.3320312  11809.3007812      7.0114298      5.1376901     18.6191998     quiet
            167           1990    275.6388855    530.5752563  38115.7031250  11820.4033203      7.0108557      5.1477299     18.6161194     quiet
            167           1990    275.6395874    429.1016541  38116.0742188  11831.5058594      7.0102820      5.1577702     18.6130390     quiet
            167           1990    275.6402893    327.6280518  38116.4492188  11842.6093750      7.0097079      5.1678100     18.6099606     quiet
            167           1990    275.6409607    226.1544189  38116.8203125  11853.7119141      7.0091343      5.1778502     18.6068802     quiet
            167           1990    275.6416626    124.6807938  38117.1914062  11864.8144531      7.0085602      5.1878901     18.6037998     quiet
            168           1990    276.0076294   6460.8979492  36431.2187500  10671.1142578      6.2960300      4.7808599      8.1240501     quiet
            168           1990    276.0083313   6364.0195312  36483.6171875  10697.8613281      6.3026638      4.7918777      8.1585522     quiet
            168           1990    276.0097351   6170.2622070  36588.4179688  10751.3564453      6.3159318      4.8139138      8.2275562     quiet
            168           1990    276.0104065   6073.3833008  36640.8203125  10778.1035156      6.3225660      4.8249321      8.2620583     quiet
            168           1990    276.0111084   5976.5048828  36693.2187500  10804.8505859      6.3291998      4.8359499      8.2965603     quiet
            168           1990    276.0118103   5878.8872070  36741.0820312  10830.2617188      6.3353238      4.8468857      8.3305044     quiet
            168           1990    276.0125122   5781.2695312  36788.9453125  10855.6728516      6.3414478      4.8578219      8.3644485     quiet
            168           1990    276.0131836   5683.6513672  36836.8046875  10881.0830078      6.3475718      4.8687577      8.3983917     quiet
            168           1990    276.0138855   5586.0336914  36884.6679688  10906.4941406      6.3536959      4.8796940      8.4323359     quiet
            168           1990    276.0409851   1693.0415039  38023.8867188  11679.8085938      6.5155120      5.2975121      9.6722422     quiet
            168           1990    276.0416565   1591.8781738  38036.5156250  11694.6074219      6.5179963      5.3081160      9.7021856     quiet
            168           1990    276.0423584   1490.7148438  38049.1406250  11709.4062500      6.5204802      5.3187199      9.7321301     quiet
            168           1990    276.0458374    984.0517578  38090.6835938  11776.7548828      6.5301700      5.3717198      9.8794699     quiet
            168           1990    276.0465393    882.6077271  38094.6835938  11788.8925781      6.5316458      5.3823218      9.9084558     quiet
            168           1990    276.0472107    781.1636963  38098.6835938  11801.0302734      6.5331221      5.3929238      9.9374418     quiet
            168           1990    276.0486145    578.2756958  38106.6835938  11825.3056641      6.5360742      5.4141278      9.9954138     quiet
            168           1990    276.0493164    476.8316956  38110.6835938  11837.4433594      6.5375500      5.4247298     10.0243998     quiet
            168           1990    276.0499878    375.3316040  38110.3828125  11848.2451172      6.5385680      5.4353456     10.0528994     quiet
